nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0102798,tt0099348,tt0119925,tt0103855	https://image.tmdb.org/t/p/{width_variable}/608blZipRDZkDpzp8VItB64qMaT.jpg
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0087800,tt0117571,tt0111686,tt0105121	https://image.tmdb.org/t/p/{width_variable}/eqwl6owrYykeTGTpKxwcAkbEJmg.jpg
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt1707386,tt0119488,tt0172495,tt0268978	https://image.tmdb.org/t/p/{width_variable}/fbzD4utSGJlsV8XbYMLoMdEZ1Fc.jpg
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0325710,tt0116695,tt0092099,tt0120755	https://image.tmdb.org/t/p/{width_variable}/eOh4ubpOm2Igdg0QH2ghj0mFtC.jpg
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0120694,tt6710474,tt0111503,tt1502407	https://image.tmdb.org/t/p/{width_variable}/9KWvPVeiLOXlOGl0XVyHZtJWQtx.jpg
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0450385,tt0146882,tt0119229,tt0098258	https://image.tmdb.org/t/p/{width_variable}/aCwCx6JU7Jxbg6Q1ygcnLY750le.jpg
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0103074,tt0104694,tt0116908,tt0091064	https://image.tmdb.org/t/p/{width_variable}/bx9ufx5cS7FfHDFFeT71syBh428.jpg
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0081398,tt0075314,tt0101540,tt0077416	https://image.tmdb.org/t/p/{width_variable}/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg
nm0000135	John Denver	1943	1997	music_artist,soundtrack,music_department	tt4649466,tt0076489,tt0120591,tt0299328	https://image.tmdb.org/t/p/{width_variable}/l5r7XUKHyxD7oELbPsAC5LTYV7A.jpg
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0325980,tt0449088,tt0408236,tt0383574	https://image.tmdb.org/t/p/{width_variable}/wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg
nm0000138	Leonardo DiCaprio	1974	\N	producer,actor,soundtrack	tt0993846,tt0120338,tt0407887,tt1375666	https://image.tmdb.org/t/p/{width_variable}/5Brc5dLifH3UInk3wUaCuGXpCqy.jpg
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0088011,tt0093010,tt0094291,tt1291580	https://image.tmdb.org/t/p/{width_variable}/kVYGPIZowzXLEQfAGUNOqKjAbBb.jpg
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0120902,tt0904208,tt0251075,tt0106179	https://image.tmdb.org/t/p/{width_variable}/rZ2pEvu9IYsnHx3ElWUy4KgK3ia.jpg
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0405159,tt1205489,tt0105695,tt0112579	https://image.tmdb.org/t/p/{width_variable}/dU35NnjZ4aGw5abIJe3WXVf3Eey.jpg
nm0000144	Cary Elwes	1962	\N	actor,producer,soundtrack	tt0093779,tt0107977,tt0119468,tt0387564	https://image.tmdb.org/t/p/{width_variable}/9P0JD0LC4j3Y43s6TGM8rOqmbwb.jpg
nm0000146	Ralph Fiennes	1962	\N	actor,producer,director	tt0108052,tt2278388,tt1372686,tt0387131	https://image.tmdb.org/t/p/{width_variable}/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt2802144,tt1315981,tt1504320,tt0243155	https://image.tmdb.org/t/p/{width_variable}/4VBeYEUQbfhnivdkqInM36u5fda.jpg
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0090329,tt0076759,tt0082971,tt0106977	https://image.tmdb.org/t/p/{width_variable}/zVnHagUvXkR2StdOtquEwsiwSVt.jpg
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0075314,tt0476964,tt0094608,tt0102926	https://image.tmdb.org/t/p/{width_variable}/resiaRfWvj4N84TgJi9DPOafCpq.jpg
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0088763,tt0116365,tt0096874,tt0115369	https://image.tmdb.org/t/p/{width_variable}/2JB4FMgQmnhbBlQ4SxWFN9EIVDi.jpg
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0114369,tt0405159,tt0468569,tt0097239	https://image.tmdb.org/t/p/{width_variable}/jPsLqiYGSofU4s6BjrxnefMfabb.jpg
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt0114436,tt0115736,tt0431308,tt1726669	https://image.tmdb.org/t/p/{width_variable}/c9PpXfQ5XN5IYISUTexXMF19cax.jpg
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0112573,tt0118883,tt0117438,tt0104714	https://image.tmdb.org/t/p/{width_variable}/jnqHMaOslt8cef2atSmOpGRvNla.jpg
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0088939,tt0108147,tt0105417,tt0099653	https://image.tmdb.org/t/p/{width_variable}/wZKI7qcEIVgiHxeFtk3NuKt8URQ.jpg
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt0116629,tt0107290,tt0091064,tt2278388	https://image.tmdb.org/t/p/{width_variable}/g3yaQSRPg9Rk6IvbIizoowmXKHJ.jpg
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0094737,tt0109830,tt0162222,tt1535109	https://image.tmdb.org/t/p/{width_variable}/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0327597,tt0227538,tt0120347,tt0410975	https://image.tmdb.org/t/p/{width_variable}/ySmnfZm8ZGabcwp4UwaMDeSzXqx.jpg
nm0000160	Ethan Hawke	1970	\N	actor,producer,writer	tt0112471,tt0381681,tt0139654,tt2209418	https://image.tmdb.org/t/p/{width_variable}/a7rgJl8TYUWAfJuM4fxbLHgD7BL.jpg
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt0120679,tt0112851,tt0120891,tt1615065	https://image.tmdb.org/t/p/{width_variable}/u4AR1MJnanaauWcQrzV15UyABb3.jpg
nm0000162	Anne Heche	1969	2022	actress,producer,writer	tt0120461,tt0119008,tt0120885,tt0120828	https://image.tmdb.org/t/p/{width_variable}/8ypIeRAZ1qnHAKESUqSwetVKEXy.jpg
nm0000163	Dustin Hoffman	1937	\N	actor,soundtrack,producer	tt0079417,tt0064665,tt0084805,tt0095953	https://image.tmdb.org/t/p/{width_variable}/yFjTzJHE6AFbwQifOlnNDzmiwlq.jpg
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0113987,tt0412080,tt0102926,tt0975645	https://image.tmdb.org/t/p/{width_variable}/9ukJS2QWTJ22HcwR1ktMmoJ6RSL.jpg
nm0000165	Ron Howard	1954	\N	producer,actor,writer	tt0268978,tt0112384,tt0075213,tt0367279	https://image.tmdb.org/t/p/{width_variable}/tDKn6gAgvARdQRfuem2JwyNcP3B.jpg
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0103484,tt0117998,tt0119822,tt0455805	https://image.tmdb.org/t/p/{width_variable}/dShr34A4diJw3rpVUkYeE5BPYJn.jpg
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0106977,tt0443272,tt0477348,tt2398231	https://image.tmdb.org/t/p/{width_variable}/zixpaPmOonRh1I3TWgxDkeGxkrv.jpg
