nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0100525	Nouri Bouzid	1945	\N	writer,director,actor	tt0125003,tt0340910,tt0976145,tt0091470	https://image.tmdb.org/t/p/{width_variable}/bR39LfzgtY9o5Yw5x1PzSzDFS54.jpg
nm0101208	Norman Bowler	1932	\N	actor	tt0054518,tt0065922,tt0068069,tt1868096	https://image.tmdb.org/t/p/{width_variable}/tHEkr21iYLUgoNaQQKPE4xtmAmg.jpg
nm0102074	Markley Boyer	\N	\N	composer,miscellaneous	tt3745086,tt0096254	\N
nm0102118	Craig Boyett	\N	\N	actor	tt0095745	\N
nm0102195	Billy Boyle	1945	\N	actor,soundtrack	tt0072684,tt0097166,tt2191715,tt0164247	https://image.tmdb.org/t/p/{width_variable}/qOaXP5lGhCUkqnZjApNz6fPe9B6.jpg
nm0103231	Gary Bradley	\N	\N	editor,editorial_department,visual_effects	tt0159876,tt0176357,tt6411322,tt1019690	\N
nm0103655	Jordan Brady	1964	\N	actor,producer,director	tt3883282,tt8080484,tt0179769,tt10441712	\N
nm0103909	Tony Bragg	\N	\N	camera_department,cinematographer	tt1401149,tt1998944,tt0096651,tt0297625	\N
nm0104418	Paulo Branco	1950	\N	producer,actor,miscellaneous	tt1480656,tt8439860,tt20259142,tt6763252	https://image.tmdb.org/t/p/{width_variable}/fts6IfqRE5xZuZB3iN6yeKNzfhd.jpg
nm0104593	Karl Brandenburg	\N	\N	editor,editorial_department,sound_department	tt0107037,tt0094688,tt0092145,tt0090381	\N
nm0104710	Michael Brandner	1951	\N	actor	tt0363163,tt0355149,tt0115088,tt2177771	https://image.tmdb.org/t/p/{width_variable}/bkQabOS0UuvOvNcOOvEG0C1st0C.jpg
nm0104749	Cory Brandon	\N	\N	camera_department,art_director,art_department	tt0091501,tt0096038,tt0137699,tt0152384	\N
nm0105308	Ulf Brantås	1957	\N	cinematographer,camera_department,assistant_director	tt5269594,tt3750872,tt0995832,tt0203166	https://image.tmdb.org/t/p/{width_variable}/5vTlsBTvgZEehez01mP81MlGnc2.jpg
nm0105636	Andy Brauer	1945	\N	composer,writer	tt0424299,tt0077169,tt0082897,tt0098181	\N
nm0105640	Charles Brauer	1935	\N	actor	tt0229168,tt0108777,tt0038646,tt0806910	https://image.tmdb.org/t/p/{width_variable}/pmzsKoimIu9ZaUfCyuJF1BJb0da.jpg
nm0106387	Rossano Brazzi	1916	1994	actor,writer,soundtrack	tt0046754,tt0047580,tt0052225,tt0064505	https://image.tmdb.org/t/p/{width_variable}/qEpEMTG9gKN5D8ZpCfoQzd2kMFc.jpg
nm0106601	Gösta Bredefeldt	1935	2010	actor,soundtrack	tt0096717,tt1634549,tt0069423,tt1132620	https://image.tmdb.org/t/p/{width_variable}/1oPiTHh6dP3QDtVHwuImHUMR4FN.jpg
nm0106924	Catherine Breillat	1948	\N	writer,director,actress	tt0243255,tt0299594,tt1721683,tt0348529	https://image.tmdb.org/t/p/{width_variable}/iWFsPdo438E79ZNxleNjxK374NI.jpg
nm0106937	Fred Breinersdorfer	1946	\N	writer,producer,director	tt1287357,tt0099728,tt0297949,tt0426578	\N
nm0107167	Ferdi Brendgen	\N	\N	composer,sound_department,music_department	tt0105266,tt0096767,tt4378688,tt0096049	\N
nm0107175	Julia Brendler	1975	\N	actress	tt0218141,tt0478163,tt0240457,tt7949022	https://image.tmdb.org/t/p/{width_variable}/6sY8Ol76P22hdTMamDcIomZRilb.jpg
nm0107386	Robert Brennan	\N	\N	writer	tt0077008,tt0108983,tt0096954,tt0094511	\N
nm0107950	Jeremy Brett	1933	1995	actor,soundtrack	tt0095330,tt0049934,tt0685628,tt0058385	https://image.tmdb.org/t/p/{width_variable}/g6HJeezMyQWcRQvuxF4Ow1NZWqr.jpg
nm0108032	Marita Breuer	1953	\N	actress	tt0203632,tt0087400,tt0120883,tt0810894	https://image.tmdb.org/t/p/{width_variable}/dv6jHPrXhbJU20kgvIarAsT86Lm.jpg
nm0108041	Torsten Breuer	\N	\N	cinematographer,composer,camera_department	tt0384369,tt0118682,tt1063669,tt1692504	\N
nm0108066	Robert Breuler	1948	\N	actor	tt0176357,tt0181945,tt0455275,tt0115988	\N
